species,longitude,latitude
Plagioscion_squamosissimus,-50.7964,-5.4808
Plagioscion_squamosissimus,-50.6761,-6.08
Plagioscion_squamosissimus,-50.5136,-6.955
Plagioscion_squamosissimus,-49.5844,-6.1386
Plagioscion_squamosissimus,-51.2867,-4.6622
Plagioscion_squamosissimus,-50.5828,-6.3319
Plagioscion_squamosissimus,-50.8053,-4.3208
Plagioscion_squamosissimus,-49.9319,-5.2775
Plagioscion_squamosissimus,-51.0333,-5.5086
Plagioscion_squamosissimus,-49.5792,-5.1883
Plagioscion_squamosissimus,-50.7964,-5.4808
Plagioscion_squamosissimus,-51.0333,-5.5086
Plagioscion_squamosissimus,-49.6203,-5.6092
Plagioscion_squamosissimus,-49.5792,-5.1883
Plagioscion_squamosissimus,-50.3469,-5.0858
Plagioscion_squamosissimus,-49.7408,-5.6583
Plagioscion_squamosissimus,-50.3036,-5.7583
Plagioscion_squamosissimus,-50.0139,-5.3419
Plagioscion_squamosissimus,-50.4347,-4.8364
Plagioscion_squamosissimus,-50.0347,-5.4522
Plagioscion_squamosissimus,-50.6761,-6.08
Plagioscion_squamosissimus,-50.6644,-5.0467
Plagioscion_squamosissimus,-48.9,0.15
Plagioscion_squamosissimus,-50.8933,-2.0386
Plagioscion_squamosissimus,-50.8933,-2.0386
Plagioscion_squamosissimus,-50.8933,-2.0386
Plagioscion_squamosissimus,-55.5969,-1.9453
Plagioscion_squamosissimus,-56.2561,-2.3219
Plagioscion_squamosissimus,-56.2561,-2.3219
Plagioscion_squamosissimus,-58.5838,3.4414
Plagioscion_squamosissimus,-69.5489,7.4124
Plagioscion_squamosissimus,-65.3617,-10.8167
Plagioscion_squamosissimus,-66.9826,-13.9674
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-52.6689,5.1094
Plagioscion_squamosissimus,-52.4875,4.6577
Plagioscion_squamosissimus,-52.3979,4.9292
Plagioscion_squamosissimus,-51.7659,4.2065
Plagioscion_squamosissimus,-52.3965,4.2057
Plagioscion_squamosissimus,-52.3076,4.8389
Plagioscion_squamosissimus,-54.0237,5.6465
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-54.3791,4.6511
Plagioscion_squamosissimus,-52.7583,4.8379
Plagioscion_squamosissimus,-53.0308,5.47
Plagioscion_squamosissimus,-53.7504,5.0153
Plagioscion_squamosissimus,-54.3819,5.193
Plagioscion_squamosissimus,-52.7583,4.8379
Plagioscion_squamosissimus,-52.6687,5.019
Plagioscion_squamosissimus,-54.1055,3.749
Plagioscion_squamosissimus,-54.3814,5.1027
Plagioscion_squamosissimus,-53.9253,3.6593
Plagioscion_squamosissimus,-53.8438,5.7378
Plagioscion_squamosissimus,-54.2864,4.0193
Plagioscion_squamosissimus,-52.5763,4.0244
Plagioscion_squamosissimus,-52.3965,4.2057
