species;longitude;latitude
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.028;-22.546
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-50.527;-22.944
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2408;-2.94
Plagioscion_squamosissimus;-44.2408;-2.94
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-53.3494;-22.7914
Plagioscion_squamosissimus;-50.2646;-21.107
Plagioscion_squamosissimus;-57.8539;-21.3381
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-55.8;-27.45
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-21.11
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-53.35;-22.79
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-48.6844;-22.1906
Plagioscion_squamosissimus;-57.1667;-21.1167
Plagioscion_squamosissimus;-55.8154;-27.4618
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.028;-22.546
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-50.527;-22.944
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2408;-2.94
Plagioscion_squamosissimus;-44.2408;-2.94
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-53.3494;-22.7914
Plagioscion_squamosissimus;-50.2646;-21.107
Plagioscion_squamosissimus;-57.8539;-21.3381
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-55.8;-27.45
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-21.11
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-53.35;-22.79
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-48.6844;-22.1906
Plagioscion_squamosissimus;-57.1667;-21.1167
Plagioscion_squamosissimus;-55.8154;-27.4618
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
