species;longitude;latitude
Plagioscion_squamosissimus;-53.0208;-22.4211
Plagioscion_squamosissimus;-53.3319;-22.7556
Plagioscion_squamosissimus;-54.59;-25.4078
Plagioscion_squamosissimus;-53.3805;-22.8164
Plagioscion_squamosissimus;-53.4931;-22.7751
Plagioscion_squamosissimus;-53.493;-22.7836
Plagioscion_squamosissimus;-53.5095;-22.7874
Plagioscion_squamosissimus;-53.5439;-22.8024
Plagioscion_squamosissimus;-53.5635;-22.8366
Plagioscion_squamosissimus;-53.5814;-22.8404
Plagioscion_squamosissimus;-53.5985;-22.8569
Plagioscion_squamosissimus;-53.6222;-22.8754
Plagioscion_squamosissimus;-59.3861;-23.1267
Plagioscion_squamosissimus;-42.4246;-19.493
Plagioscion_squamosissimus;-42.8954;-20.2459
Plagioscion_squamosissimus;-42.65;-7
Plagioscion_squamosissimus;-42.8167;-4.0333
Plagioscion_squamosissimus;-41.9667;-6.1667
Plagioscion_squamosissimus;-54.3;-24.7
Plagioscion_squamosissimus;-53.3167;-22.7833
Plagioscion_squamosissimus;-48.5333;-20.5167
Plagioscion_squamosissimus;-54.5833;-25.4167
Plagioscion_squamosissimus;-49.3697;-28.6775
Plagioscion_squamosissimus;-35.75;-8.0333
Plagioscion_squamosissimus;-53.2934;-22.7277
Plagioscion_squamosissimus;-53.3042;-22.7223
Plagioscion_squamosissimus;-53.6085;-22.8563
Plagioscion_squamosissimus;-53.5564;-22.8272
Plagioscion_squamosissimus;-53.2599;-22.7494
Plagioscion_squamosissimus;-37.8;-5.7625
Plagioscion_squamosissimus;-41.8197;-9.8333
Plagioscion_squamosissimus;-43.5683;-22.5288
Plagioscion_squamosissimus;-54.5951;-25.4033
Plagioscion_squamosissimus;-41.8188;-13.5615
Plagioscion_squamosissimus;-53.3204;-22.7622
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-55.8;-27.45
Plagioscion_squamosissimus;-49.99;-22.92
Plagioscion_squamosissimus;-50.26;-22.93
Plagioscion_squamosissimus;-49.99;-22.92
